SKU,Project Name,,Project Name Bank,,Generated Feb Dashboard?,Fixed UPS Pricing (Int.),Fixed UPS Pricing (Dom.)
DEAGRA-KIT-4packJournals,DG - MISCELLANEOUS,,DG - MISCELLANEOUS,,TRUE,FALSE,FALSE
DEAGRA-JRN-BetterLifejournal-Mustard,DG - MISCELLANEOUS,,THE EDGE WELCOME BOX - BLACK,,FALSE,FALSE,FALSE
DEAGRA-JRN-BetterLifejournal-burgundy,DG - MISCELLANEOUS,,ACTION ACADEMY WELCOME BOX,,FALSE,FALSE,FALSE
DEAGRA-JRN-BetterLifejournal-white,DG - MISCELLANEOUS,,THE EDGE WELCOME BOX,,FALSE,FALSE,FALSE
DEAGRA-JRN-BetterLifejournal-darkgray,DG - MISCELLANEOUS,,DG- MASTERMIND APRIL 2024,,FALSE,FALSE,FALSE
DEAGRA-60010,DG - MISCELLANEOUS,,,,FALSE,FALSE,FALSE
DEAGRA-BK-MSH,DG - MISCELLANEOUS,,,,FALSE,FALSE,FALSE
DEAGRA-KIT-UDA+GRAYBLJ,DG - MISCELLANEOUS,,,,FALSE,FALSE,FALSE
DEAGRA-KIT-MSHJournal,DG - MISCELLANEOUS,,,,FALSE,FALSE,FALSE
DEAGRA-60011-01,DG - MISCELLANEOUS,,,,FALSE,FALSE,FALSE
DEAGRA-60011-04,DG - MISCELLANEOUS,,,,FALSE,FALSE,FALSE
DEAGRA-60011-03,DG - MISCELLANEOUS,,,,FALSE,FALSE,FALSE
DEAGRA-HAT-MastermindHat-whitelogo,DG - MISCELLANEOUS,,,,FALSE,FALSE,FALSE
DEAGRA-KIT-UDAJournal,DG - MISCELLANEOUS,,,,FALSE,FALSE,FALSE
Bootcamp Bookmark,DG- MASTERMIND APRIL 2024,,,,FALSE,FALSE,FALSE
DEAGRA-20006,DG- MASTERMIND APRIL 2024,,,,FALSE,FALSE,FALSE
DEAGRA-60001,THE EDGE WELCOME BOX,,,,,,
DEAGRA-MCH-Pen-MasterMind-Black,DG- MASTERMIND APRIL 2024,,,,,,
DEAGRA-MCH-Ringlight-Mastermind,ACTION ACADEMY WELCOME BOX,,,,,,